epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9008,0.92641,3.83429,1.16454,0.00485,0.65278,0.12893,0.10726,0.37984,3.49339,0.88222,7e-05,7e-05,7e-05
2,22.365,0.8637,3.37815,1.08744,0.00446,0.83333,0.27987,0.23347,0.38298,3.29084,0.82502,0.000146287,0.000146287,0.000146287
3,33.5464,0.81633,2.50327,0.99853,0.00416,0.88889,0.36796,0.32388,0.41714,3.00305,0.82522,0.000218615,0.000218615,0.000218615
4,45.1288,0.8229,1.82629,1.0151,1,0.15855,0.58013,0.47122,0.49307,2.69313,0.83893,0.000286983,0.000286983,0.000286983
5,56.0376,0.80249,1.46463,0.99808,0.81729,0.31384,0.52419,0.41273,0.40927,2.91483,0.81153,0.00035139,0.00035139,0.00035139
6,66.8216,0.78963,1.21896,0.94832,0.86678,0.45173,0.88739,0.72638,0.42032,2.82939,0.82347,0.000411837,0.000411837,0.000411837
7,77.6536,0.68271,1.01783,0.94339,0.97963,0.45226,0.91234,0.74403,0.43819,2.42645,0.8371,0.000468325,0.000468325,0.000468325
8,88.6467,0.72275,0.99563,0.98326,0.82098,0.56623,0.979,0.82228,0.49563,2.21355,0.84808,0.000520852,0.000520852,0.000520852
9,99.6283,0.75717,0.98665,1.01271,0.86179,0.68571,0.995,0.80984,0.48812,2.15382,0.84432,0.00056942,0.00056942,0.00056942
10,110.534,0.73734,0.88797,0.9472,0.85696,0.93061,0.995,0.83445,0.47814,1.59111,0.8363,0.000614028,0.000614028,0.000614028
11,121.282,0.79259,0.95939,0.986,0.84407,0.90433,0.995,0.76396,0.49088,1.75156,0.85643,0.000654675,0.000654675,0.000654675
12,132.575,0.77194,0.97454,0.99215,0.83002,0.93177,0.98111,0.72518,0.54816,1.24587,0.88712,0.000691363,0.000691363,0.000691363
13,143.834,0.74621,0.85443,0.98053,0.85828,0.97381,0.995,0.73936,0.56622,1.09233,0.88225,0.000703,0.000703,0.000703
14,155.75,0.71201,0.8292,0.94896,0.84372,0.98432,0.995,0.78994,0.48433,0.89165,0.84299,0.00067825,0.00067825,0.00067825
15,168.804,0.74371,0.8277,0.97893,0.96121,0.94966,0.995,0.84269,0.42616,0.95068,0.82044,0.0006535,0.0006535,0.0006535
16,180.484,0.70317,0.80127,0.96904,0.93309,0.98785,0.995,0.81194,0.4635,0.95254,0.83351,0.00062875,0.00062875,0.00062875
17,191.439,0.70952,0.7887,0.99611,0.9004,1,0.995,0.77813,0.41928,0.78895,0.82353,0.000604,0.000604,0.000604
18,202.894,0.729,0.75202,0.96722,0.96481,0.83333,0.84192,0.69752,0.52846,0.94085,0.88732,0.00057925,0.00057925,0.00057925
19,214.071,0.66482,0.73873,0.9523,0.97746,0.83333,0.83746,0.69088,0.49971,0.85319,0.87382,0.0005545,0.0005545,0.0005545
20,225.603,0.68661,0.75984,0.97514,0.94783,1,0.995,0.78551,0.4085,0.7319,0.82253,0.00052975,0.00052975,0.00052975
21,236.63,0.72197,0.73667,0.98119,0.96116,0.98016,0.995,0.83858,0.44792,0.70978,0.84721,0.000505,0.000505,0.000505
22,247.692,0.6489,0.73112,0.94576,0.96557,0.98267,0.995,0.85472,0.35629,0.6216,0.80864,0.00048025,0.00048025,0.00048025
23,258.906,0.68046,0.72105,0.96738,0.93707,0.99322,0.995,0.84153,0.43416,0.7023,0.81687,0.0004555,0.0004555,0.0004555
24,269.843,0.63612,0.65206,0.93669,0.93074,1,0.995,0.83753,0.46045,0.734,0.83423,0.00043075,0.00043075,0.00043075
25,281.834,0.61097,0.65207,0.94129,0.93499,0.99113,0.995,0.8159,0.40904,0.77,0.82324,0.000406,0.000406,0.000406
26,295.777,0.61714,0.64514,0.93079,0.94389,0.97291,0.995,0.823,0.41115,0.74302,0.82041,0.00038125,0.00038125,0.00038125
27,307.305,0.61163,0.72105,0.90108,0.95505,0.97545,0.995,0.81551,0.42853,0.71401,0.83023,0.0003565,0.0003565,0.0003565
28,319.285,0.57928,0.61804,0.90772,0.96435,0.98595,0.995,0.82661,0.4278,0.66035,0.82224,0.00033175,0.00033175,0.00033175
29,330.948,0.58057,0.69599,0.94345,0.96576,1,0.995,0.78782,0.4339,0.64681,0.8258,0.000307,0.000307,0.000307
30,342.522,0.55913,0.59199,0.90044,0.96326,1,0.995,0.79462,0.42318,0.6643,0.81629,0.00028225,0.00028225,0.00028225
31,354.411,0.4981,0.72877,0.86728,0.97462,1,0.995,0.84534,0.4201,0.68418,0.81876,0.0002575,0.0002575,0.0002575
32,366.102,0.46835,0.66987,0.87742,0.95547,0.98961,0.995,0.82059,0.48359,0.74587,0.85355,0.00023275,0.00023275,0.00023275
33,377,0.49829,0.68997,0.88206,0.95534,1,0.995,0.829,0.42885,0.6682,0.82622,0.000208,0.000208,0.000208
34,389.467,0.50018,0.64331,0.84821,0.98156,0.98003,0.995,0.84667,0.37215,0.5697,0.802,0.00018325,0.00018325,0.00018325
35,401.27,0.44342,0.62609,0.86164,0.98387,0.98557,0.995,0.85332,0.36238,0.54127,0.79875,0.0001585,0.0001585,0.0001585
36,412.562,0.43235,0.59788,0.83984,0.9848,0.99096,0.995,0.8535,0.37056,0.55411,0.80236,0.00013375,0.00013375,0.00013375
37,423.502,0.42475,0.62266,0.84549,0.98527,0.99579,0.995,0.86188,0.38529,0.5673,0.81027,0.000109,0.000109,0.000109
38,435.749,0.45159,0.59754,0.84178,0.98536,1,0.995,0.85909,0.39368,0.56054,0.81099,8.425e-05,8.425e-05,8.425e-05
39,447.927,0.43151,0.58561,0.83783,0.9849,1,0.995,0.85824,0.38654,0.5567,0.80782,5.95e-05,5.95e-05,5.95e-05
40,459.557,0.42727,0.61245,0.81345,0.98564,1,0.995,0.86218,0.36521,0.55035,0.79915,3.475e-05,3.475e-05,3.475e-05
